ERPset,idx,Y,Domain,tmp,Cond4,Position,ROI
10,18,-1.15,2.00,2.00,1.00,0.00,2.00
10,22,1.23,2.00,6.00,2.00,1.00,2.00
10,26,2.81,2.00,10.00,3.00,2.00,2.00
10,30,6.21,2.00,14.00,4.00,3.00,2.00
10,34,1.21,3.00,2.00,1.00,0.00,2.00
10,38,-0.12,3.00,6.00,2.00,1.00,2.00
10,42,1.64,3.00,10.00,3.00,2.00,2.00
10,46,5.75,3.00,14.00,4.00,3.00,2.00
9,2,-1.08,1.00,2.00,1.00,0.00,2.00
9,6,0.81,1.00,6.00,2.00,1.00,2.00
9,10,0.57,1.00,10.00,3.00,2.00,2.00
9,14,2.37,1.00,14.00,4.00,3.00,2.00
9,18,-1.07,2.00,2.00,1.00,0.00,2.00
9,22,-0.72,2.00,6.00,2.00,1.00,2.00
9,26,0.13,2.00,10.00,3.00,2.00,2.00
9,30,2.13,2.00,14.00,4.00,3.00,2.00
9,34,0.07,3.00,2.00,1.00,0.00,2.00
9,38,-2.19,3.00,6.00,2.00,1.00,2.00
9,42,-1.77,3.00,10.00,3.00,2.00,2.00
9,46,-2.38,3.00,14.00,4.00,3.00,2.00
7,2,0.83,1.00,2.00,1.00,0.00,2.00
7,6,3.17,1.00,6.00,2.00,1.00,2.00
7,10,0.83,1.00,10.00,3.00,2.00,2.00
7,14,9.35,1.00,14.00,4.00,3.00,2.00
7,18,0.63,2.00,2.00,1.00,0.00,2.00
7,22,0.73,2.00,6.00,2.00,1.00,2.00
7,26,-0.86,2.00,10.00,3.00,2.00,2.00
7,30,6.56,2.00,14.00,4.00,3.00,2.00
7,34,1.43,3.00,2.00,1.00,0.00,2.00
7,38,-2.44,3.00,6.00,2.00,1.00,2.00
7,42,-3.35,3.00,10.00,3.00,2.00,2.00
7,46,0.83,3.00,14.00,4.00,3.00,2.00
8,2,1.97,1.00,2.00,1.00,0.00,2.00
8,6,2.28,1.00,6.00,2.00,1.00,2.00
8,10,3.39,1.00,10.00,3.00,2.00,2.00
8,14,8.57,1.00,14.00,4.00,3.00,2.00
8,18,-0.31,2.00,2.00,1.00,0.00,2.00
8,22,-3.89,2.00,6.00,2.00,1.00,2.00
8,26,-0.16,2.00,10.00,3.00,2.00,2.00
8,30,6.01,2.00,14.00,4.00,3.00,2.00
8,34,0.77,3.00,2.00,1.00,0.00,2.00
8,38,-1.28,3.00,6.00,2.00,1.00,2.00
8,42,0.90,3.00,10.00,3.00,2.00,2.00
8,46,7.55,3.00,14.00,4.00,3.00,2.00
6,2,0.34,1.00,2.00,1.00,0.00,2.00
6,6,2.54,1.00,6.00,2.00,1.00,2.00
6,10,6.66,1.00,10.00,3.00,2.00,2.00
6,14,9.43,1.00,14.00,4.00,3.00,2.00
6,18,-0.02,2.00,2.00,1.00,0.00,2.00
6,22,1.46,2.00,6.00,2.00,1.00,2.00
6,26,-2.10,2.00,10.00,3.00,2.00,2.00
6,30,3.25,2.00,14.00,4.00,3.00,2.00
6,34,2.18,3.00,2.00,1.00,0.00,2.00
6,38,-0.35,3.00,6.00,2.00,1.00,2.00
6,42,-2.90,3.00,10.00,3.00,2.00,2.00
6,46,9.37,3.00,14.00,4.00,3.00,2.00
5,2,6.03,1.00,2.00,1.00,0.00,2.00
5,6,-0.48,1.00,6.00,2.00,1.00,2.00
5,10,4.12,1.00,10.00,3.00,2.00,2.00
5,14,1.72,1.00,14.00,4.00,3.00,2.00
5,18,0.64,2.00,2.00,1.00,0.00,2.00
5,22,-1.96,2.00,6.00,2.00,1.00,2.00
5,26,-0.69,2.00,10.00,3.00,2.00,2.00
5,30,3.25,2.00,14.00,4.00,3.00,2.00
5,34,-0.83,3.00,2.00,1.00,0.00,2.00
5,38,-2.79,3.00,6.00,2.00,1.00,2.00
5,42,-2.56,3.00,10.00,3.00,2.00,2.00
5,46,0.59,3.00,14.00,4.00,3.00,2.00
4,2,1.76,1.00,2.00,1.00,0.00,2.00
4,6,-2.86,1.00,6.00,2.00,1.00,2.00
4,10,4.21,1.00,10.00,3.00,2.00,2.00
4,14,4.98,1.00,14.00,4.00,3.00,2.00
4,18,0.87,2.00,2.00,1.00,0.00,2.00
4,22,-4.44,2.00,6.00,2.00,1.00,2.00
4,26,-3.13,2.00,10.00,3.00,2.00,2.00
4,30,2.08,2.00,14.00,4.00,3.00,2.00
4,34,-2.14,3.00,2.00,1.00,0.00,2.00
4,38,-6.96,3.00,6.00,2.00,1.00,2.00
4,42,-6.44,3.00,10.00,3.00,2.00,2.00
4,46,2.37,3.00,14.00,4.00,3.00,2.00
3,2,2.19,1.00,2.00,1.00,0.00,2.00
3,6,-0.71,1.00,6.00,2.00,1.00,2.00
3,10,5.02,1.00,10.00,3.00,2.00,2.00
3,14,7.58,1.00,14.00,4.00,3.00,2.00
3,18,-0.67,2.00,2.00,1.00,0.00,2.00
3,22,-1.88,2.00,6.00,2.00,1.00,2.00
3,26,0.37,2.00,10.00,3.00,2.00,2.00
3,30,5.66,2.00,14.00,4.00,3.00,2.00
3,34,-0.39,3.00,2.00,1.00,0.00,2.00
3,38,-2.53,3.00,6.00,2.00,1.00,2.00
3,42,-0.92,3.00,10.00,3.00,2.00,2.00
3,46,2.62,3.00,14.00,4.00,3.00,2.00
2,2,-0.34,1.00,2.00,1.00,0.00,2.00
2,6,-2.34,1.00,6.00,2.00,1.00,2.00
2,10,1.43,1.00,10.00,3.00,2.00,2.00
2,14,-0.54,1.00,14.00,4.00,3.00,2.00
2,18,0.43,2.00,2.00,1.00,0.00,2.00
2,22,-1.08,2.00,6.00,2.00,1.00,2.00
2,26,0.72,2.00,10.00,3.00,2.00,2.00
2,30,0.93,2.00,14.00,4.00,3.00,2.00
2,34,-1.96,3.00,2.00,1.00,0.00,2.00
2,38,-5.59,3.00,6.00,2.00,1.00,2.00
2,42,-3.00,3.00,10.00,3.00,2.00,2.00
2,46,-5.30,3.00,14.00,4.00,3.00,2.00
1,2,-1.45,1.00,2.00,1.00,0.00,2.00
1,6,-0.80,1.00,6.00,2.00,1.00,2.00
1,10,-0.24,1.00,10.00,3.00,2.00,2.00
1,14,4.31,1.00,14.00,4.00,3.00,2.00
1,18,-0.27,2.00,2.00,1.00,0.00,2.00
1,22,-2.43,2.00,6.00,2.00,1.00,2.00
1,26,-0.64,2.00,10.00,3.00,2.00,2.00
1,30,4.91,2.00,14.00,4.00,3.00,2.00
1,34,0.13,3.00,2.00,1.00,0.00,2.00
1,38,-4.69,3.00,6.00,2.00,1.00,2.00
1,42,-3.56,3.00,10.00,3.00,2.00,2.00
1,46,4.12,3.00,14.00,4.00,3.00,2.00
